job_title,company_name,sector,location,job_type,salary_range,experience_level,education_requirements,required_skills,responsibilities,years_experience,benefits,work_mode,posting_date,job_description_length,required_certifications,team_size,company_size,posting_platform,company_culture,visa_sponsorship,working_hours,language_requirements,travel_requirements,collaboration_tools,reporting_structure,learning_opportunities,stock_options,soft_skills,perks,job_id,via
Senior Fraud Investigation Analyst,Self Financial,Finance/FinTech,"Orchard City, CO",Full-time,"$72,000 - $88,000 annually",5+ years,No degree mentioned,"Fraud investigations, payment risk, KYC reviews, BSA/AML oversights, communication skills, technical skills","Daily operational workflows, fraud investigations, customer verification, red flag reviews, suspicious activity detection, loss mitigation, statistical analysis",5+ years,"Stock Options, Quarterly bonuses, Health, vision, dental insurance, Flexible vacation policy, Educational assistance, Gym membership, Remote work, Paid parental leave",Remote work arrangements/ flexible work schedule,,Long,,,,Adzuna,Diverse and inclusive,,,,,"Sentilink, Jira Service desk, Google Suite, Lexis Nexis",,,Available,"High EQ, Team collaboration",Generous benefits package,eyJqb2JfdGl0bGUiOiJTZW5pb3IgRnJhdWQgSW52ZXN0aWdhdGlvbiBBbmFseXN0aCIsImNvbXBhbnlfbmFtZSI6IlNlbGZGaW5hbmNpYWwifQ==,
Fraud Investigation Analyst,"MUFG Bank, Ltd.",Financial Services,United States,Full-time,$59K - $73K,Mid-level,"Associates Degree in Criminal Justice, Business or related field preferred","Fraud investigations, payment processing, knowledge of laws and regulations, communication skills","Complete fraud investigations, identify suspicious transactions, file Suspicious Activity Reports, communicate with clients and business partners",Minimum of 3 years in investigative related experience,"Paid time off, health insurance, dental insurance, retirement plans, educational assistance, maternity and parental bonding leave, vacation, sick days, holidays","Hybrid (four days in office or client sites, one day remote)",16 days ago,Long,"Professional certifications such as CFE, CCIP, CCII, CFCI are highly desirable",,,Workday,"Client-obsessed, inclusive, innovative",,,,,,Reporting to Senior Fraud Prevention Manager,"Training programs, career development",,"Interpersonal skills, ability to listen and speak up",,eyJqb2JfdGl0bGUiOiJGcmF1ZCBJbnZlc3RpZ2F0aW9uLCBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiTVVGRyBCYW5rLCBMdGQuIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiMkhRZGpXRkg5bXFLaGNSeUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
First Party Fraud Analyst Senior,USAA,Financial Services,"Colorado Springs, CO",Full-time,"$109,130-$208,580",Mid-Level,Bachelor's degree in quantitative analytics field or 6 years of data & analytics experience,"Data analysis, Machine Learning, Python, SAS, Tableau","Analyze data, develop solutions, provide subject matter expertise, ensure risk compliance",6 years of data & analytics experience,"Remote work, competitive salary, comprehensive benefits package, career development opportunities","Flexible work environment, 4 days in the office per week",,Long,,,,EFinancialCareers,"Values of honesty, integrity, loyalty, and service",,,,Occasional business travel,"PowerBI, Tableau",,Continual technical and soft skill progression,,"Strong communication, attention to detail, critical thinking","16 paid volunteer hours, various wellness programs",eyJqb2JfdGl0bGUiOiJGaXJzdCBQYXJ0eSBGcmF1ZCBBbmFseXN0IFNlbmlvcjogTWlkLSBMZXZlbCB8IENvbG9yYWRvIFNwcmluZ3MsIENPLCBVU0EiLCJjb21wYW55X25hbWUiOiJVU0FBIiwiYWRkcmVzc19jaXR5IjoiQ29sb3JhZG8gU3ByaW5ncywgQ08iLCJodGlkb2NpZCI6IkZDVU4xVkhjSW8zRThnNExBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Fraud Detection Services - Fraud Executive Advisor,HireKeyz Inc,,Anywhere,Contractor,,20+ years,No degree mentioned,"Experience leading Fraud and Abuse Management System (FAMS) Tool implementations, Experience working on the TriWest T5 Fraud Detection Services Contract, Experience and relationships with TriWest C-Suite leadership, Experience with Defense Health Agency fraud detection and VA Community Care Network (CCN) fraud detection, Experience with healthcare fraud detection",The TriWest Fraud Detection services Fraud Executive Advisor will support the Fraud and Abuse Management System (FAMS) Team as they deploy FAMS to detection fraud on claims within the T5 contract,20+,,Work from home,,Long,,,,LinkedIn,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJGcmF1ZCBEZXRlY3Rpb24gU2VydmljZXMgIEZyYXVkIEV4ZWN1dGl2ZSBBZHZpc29yIiwiY29tcGFueV9uYW1lIjoiSGlyZUtleXogSW5jIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUFFPY1BKTmFWQ0VLbVBiY0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
First Party Fraud Policy Analyst,"Citibank, N.A.",Finance,Anywhere,Full-time,"$79,120.00 - $118,680.00",5+ years,Bachelor’s/University degree or equivalent experience,"Analytical skills, Communication skills, Fraud Prevention, Statistical analysis","Develops and implements effective Fraud detection and prevention strategies, Evaluates new tools and products for risk detection and prevention, Interacts with internal and external partners to optimize business strategies",5+ years,"Medical, dental & vision coverage; 401(k); life, accident, and disability insurance; wellness programs; paid time off packages",Remote,4 days ago,Long,,,,Workday,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJGaXJzdCBQYXJ0eSBGcmF1ZCBQb2xpY3kgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IjAwMDAyIENpdGliYW5rLCBOLkEuIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoieldOazJHLXpGMXl6bnItR0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
M&D Security and Fraud Analyst Intern - OVIP,Oracle,Manufacturing and Distribution,United States,Full-time and Internship,$30 per hour,Entry Level,"BS degree in Business, or Operations","Program Management, Supply Chain Operations, Project Management, Cross-functional Team Leadership, Communication Skills, Office Productivity Tools","Oversee security and fraud operations, prioritize program activities, evaluate standardization procedures, recommend project improvements, support global programs, analyze processes, track milestones, focus on simplification and standardization",,"Hourly wage of $30, full-time position, internship from January 27 to April 18, 2025",,9 days ago,Long,Project Management Certifications,,"Over 430,000 customers",Sign In To Oracle,Committed to veterans and military spouses,,40 hours per week,,,,,On-the-job training and professional development,,"Self-motivation, Teamwork, Prioritization, Adaptability",,eyJqb2JfdGl0bGUiOiJNXHUwMDI2RCBTZWN1cml0eSBhbmQgRnJhdWQgQW5hbHlzdCBJbnRlcm4gLSBPVklQIiwiY29tcGFueV9uYW1lIjoiT3JhY2xlIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUjNGdjBNbDVmODRjOFlxQ0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
First Party Fraud Analyst I- (Mid-Level),USAA,Financial Services,"Fort Carson, CO",Full-time,"$89,990-$172,000",Mid-Level,Bachelor's degree in quantitative analytics field or 4 years of related experience,"Mathematical and statistical techniques, data analysis tools, SQL, SAS, BI tools, visualization tools, coding languages (SQL/SAS/Python), problem-solving, communication skills","Leverage understanding within Financial Crimes space, apply analytical techniques, gather data sources, document methodology, adopt emerging technology, ensure risk compliance",4 years in data/analytics or functional business experience within the financial industry,"Comprehensive medical, dental, and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off, wellness programs","Flexible work environment requiring 4 days in the office per week, remote work in the continental U.S. with occasional travel",,1557,,,,Jobbio,"Honesty, integrity, loyalty, and service",,,,Occasional business travel,,,Career path planning and continuing education,,"Attention to detail, passion for excellence",,eyJqb2JfdGl0bGUiOiJGaXJzdCBQYXJ0eSBGcmF1ZCBBbmFseXN0IEktICggTWlkLUxldmVsKSIsImNvbXBhbnlfbmFtZSI6IlVTQUEiLCJhZGRyZXNzX2NpdHkiOiJGb3J0IENhcnNvbiwgQ08iLCJodGlkb2NpZCI6InEzX0xwa1d5djFuWURNd2lBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Entry Level Risk Analyst,Interactive Resources - iR,,"Jacksonville, FL",Full-time,,0-2 years,"High School Diploma or GED required; Bachelor’s Degree in Accounting, Finance, Business Administration, or related field preferred","Strong analytical and problem-solving skills, Proficient in Microsoft Office Suite, particularly Excel","Perform risk assessments, Develop and implement risk reduction strategies, Monitor employee purchases, Investigate suspected fraud, Create fraud prevention strategies, Plan and conduct internal audits, Collaborate with different regions and departments, Analyze audit data, Prepare reports and present findings to senior management",,,,3 days ago,Detailed job responsibilities and qualifications provided,,,,LinkedIn,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJFbnRyeSBMZXZlbCBSaXNrIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJJbnRlcmFjdGl2ZSBSZXNvdXJjZXMgLSBpUiIsImFkZHJlc3NfY2l0eSI6IkphY2tzb252aWxsZSwgRkwiLCJodGlkb2NpZCI6IlB6WTVvUVIzYzg2T0dGbDRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
"AVP, Security Risk Analyst",Synchrony Bank,Financial Services,"Stamford, CT",Full-time,"$95,000.00 - $160,000.00 USD Annual",2+ years,Bachelor's degree preferred,"Information security, risk management, vulnerability management","Evaluate exceptions to security policies, assess vulnerability risk, coordinate with IT teams for remediation, update security standards, assist with audits",2+ years in IT,"Annual bonus based on performance, choice of work location (office or remote)","Option to work from home, near hubs, or in offices",1 day ago,Long,"CISSP, CISA, CRISC are a plus",,,Workday,Diverse and inclusive,Not available,,,,"Qualys, Fortify, Sonatype",,Awareness of cybersecurity trends and developments,,"Excellent communication, problem-solving, self-starter","Community engagement, career growth support",eyJqb2JfdGl0bGUiOiJBVlAsIFNlY3VyaXR5IFJpc2sgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlN5bmNocm9ueSBCYW5rIiwiYWRkcmVzc19jaXR5IjoiU3RhbWZvcmQsIENUIiwiaHRpZG9jaWQiOiJxandDQXgyTVZQdXdNc2dJQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Cyber Security Risk Analyst,Mindlance,Information Technology,Anywhere,Contractor,55-60 an hour,,No degree mentioned,"Understanding of third-party landscape, risk assessment skills, vendor security assessment","Provide guidance on Cyber Security decisions, collaborate with stakeholders, lead technical design and implementation, perform vendor cyber security risk assessments",,Equal Opportunity Employer,Work from home,1 day ago,Long,,,,LinkedIn,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJDeWJlciBTZWN1cml0eSBSaXNrIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJNaW5kbGFuY2UiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJNcllyQlhVWTZQUEQyYmN3QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Counterparty and Derivatives Risk Analyst,Vanguard Careers,Finance,"Malvern, PA",Full-time,,Mid-Senior level,"Undergraduate degree or equivalent, Graduate degree preferred","Risk management, Financial markets knowledge, Regulatory compliance, Data analysis","Develop, implement, and maintain risk management infrastructure, Lead initiatives for risk frameworks alignment, Monitor market events for risk impact, Act as a liaison on risk topics, Develop understanding of investment management areas","Minimum of 5 years related work experience, including 3 years in counterparty risk management",Sponsorship not available,Hybrid working model,,Long,Progress towards CFA or FRM preferred,,,Vanguard Careers,"Diverse and inclusive culture, commitment to diversity and inclusion",Not available,,,,,,Opportunity to impact risk profile and build network at Vanguard,,,,eyJqb2JfdGl0bGUiOiJDb3VudGVycGFydHkgYW5kIERlcml2YXRpdmVzIFJpc2sgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlZhbmd1YXJkIENhcmVlcnMiLCJhZGRyZXNzX2NpdHkiOiJNYWx2ZXJuLCBQQSIsImh0aWRvY2lkIjoiOTlLel9MeEdualJDRmZmUUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Third Party Risk Analyst,TMobile,Risk Management,"Overland Park, KS (+1 other)",Full-time,"$63,600 - $114,800",2-4 years,Bachelor's Degree,"Communication, Analysis, Collaboration, Microsoft Office","Evaluate and conduct Risk Reviews and Assessments of third parties, interact with various departments, conduct risk assessments, collaborate to mitigate risks, conduct training and awareness sessions",2-4 years,"Competitive base salary, stock grants, 401(k), health insurance, paid time off, dental insurance, annual bonus, parental leave, tuition assistance, mobile service & home internet discounts, pet insurance, commuter programs","Hybrid environment, 3 days a week in office",18 days ago,Long,,,,T-Mobile Career,,U.S. citizenship required,,,Travel Required,,,"Continuous improvement, technology adoption",Employee stock purchase plan,"Critical thinking, professionalism, business judgment","Year-round money coaches, flexible spending account, 12 paid holidays",eyJqb2JfdGl0bGUiOiJUaGlyZCBQYXJ0eSBSaXNrIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJUTW9iaWxlIiwiYWRkcmVzc19jaXR5IjoiT3ZlcmxhbmQgUGFyaywgS1MiLCJodGlkb2NpZCI6IkpZLWdwb1BDMDI5bUdqcXJBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Senior Risk Management Analyst,Menasha Corporation,Risk Management,"Neenah, WI",Full-time,,"Five years of experience in Risk Management, Business or Finance (preferred)","Bachelor’s degree, preferably with area of study in Risk Management, Business or Finance","Strategic thinking, problem-solving, communication skills, project management, Microsoft products proficiency, analytical skills","Assist with risk management tools, practices, and policies; report and manage risks; administer insurance claims; participate in workers compensation reviews; assist with budgeting and forecasting; evaluate insurance contracts; manage risk management systems; report and audit",Five years,,,2 days ago,Long,"CRM, ARM or equivalent certification (preferred)",,"Over 7,500 employees in 112 facilities in North America and Europe",LinkedIn,Equal opportunity employer,,,,Occasional travel may be required,,,,,"Attention to detail, interpersonal skills, teamwork",,eyJqb2JfdGl0bGUiOiJTZW5pb3IgUmlzayBNYW5hZ2VtZW50IEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJNZW5hc2hhIENvcnBvcmF0aW9uIiwiYWRkcmVzc19jaXR5IjoiTmVlbmFoLCBXSSIsImh0aWRvY2lkIjoiWkk5MnJZcUVFY01SbWVwZUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Treasury Operations Risk Analyst,Randstad USA,Finance,Anywhere,Contract,$65 - $68 per hour,Experienced,Bachelors,"Risk Management, Workiva, Resolution plans 165 (d)","Performing review and challenge of Resolution Plans, working with first and second line of defense teams, working alongside Operational Risk Management Treasury and Finance team",Minimum 10 years,"Health insurance, Dental insurance, Pay based on factors like education and work experience, 401K contribution",Remote,3 days ago,Long,,,,Randstad USA,,,9am to 5pm,,,"PPT, Excel",,,,Excellent presentation and writing skills,Comprehensive benefits package,eyJqb2JfdGl0bGUiOiJUcmVhc3VyeSBPcGVyYXRpb25zIFJpc2sgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlJhbmRzdGFkIFVTQSIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiX2ROcGFsZFJVWmNNdXlSd0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Risk Analyst III,First Citizens Bank,Finance,Pennsylvania (+2 others),Full-time,"$90,000.00 - $135,000.00",2 years of experience in Risk Analytics or Analytics,Bachelor's Degree or High School Diploma/GED,"Risk evaluation, Data analysis, Reporting","Provide complex support to business units, Evaluate potential losses, Create improvements to processes, Ensure compliance, Oversee less experienced analysts",2,"Comprehensive benefits program, Customized offerings, Support for families",Remote,23 days ago,Long,,,,First Citizens Careers - First Citizens Bank,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJSaXNrIEFuYWx5c3QgSUlJIiwiY29tcGFueV9uYW1lIjoiRmlyc3QgQ2l0aXplbnMgQmFuayIsImFkZHJlc3NfY2l0eSI6IlBlbm5zeWx2YW5pYSIsImh0aWRvY2lkIjoidjI3MlhpNF9SMzFjaF9kdkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Senior Technology Risk Analyst,Mastercard,Financial Services,"O'Fallon, MO",Full-time,,Mid-Senior level,"Bachelor’s degree in computer science, information technology or related field preferred","Technology audits, control frameworks, project management, compliance support","Assist in leading assurance directives, execute control validation, perform project management activities, track remediation efforts, report on assurance objectives and risk assessments",,,,12 days ago,Long,"CISSP/CISA/CRISC or similar, a plus",,,Careers At Mastercard,,,,,,,,,,"Strong interpersonal, communication and presentation skills",,eyJqb2JfdGl0bGUiOiJTZW5pb3IgVGVjaG5vbG9neSBSaXNrIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJNYXN0ZXJjYXJkIiwiYWRkcmVzc19jaXR5IjoiTydGYWxsb24sIE1PIiwiaHRpZG9jaWQiOiJ4SExma2dBV2Vvb2czdW1PQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Information Security Risk Analyst,"University of California, Irvine",Education,"Irvine, CA",Full-time,"$85,400 - $120,000 (Annual)",3-5 years,Bachelor's degree in related area and/or equivalent experience/training,"Knowledge of common cybersecurity frameworks and standards, risk management techniques, IT security systems and tools, ability to create and interpret technical diagrams, communication skills, risk assessment skills","Leading information security risk management processes, developing security awareness programs, managing GRC tools, performing security risk assessments, coordinating security initiatives",3-5 years,"Medical insurance, sick and vacation time, retirement savings plans, access to discounts and perks",,,Long,"CISSP, CISA, CISM (Preferred)",,,UCI | Careers Home - UC Irvine,Equal Opportunity/Affirmative Action Employer,Must be able to provide proof of work authorization,,,,GRC tool,"Under the general supervision of the Supervisor, IT Security Risk and Compliance",,,"Interpersonal skills, self-motivation, commitment to ethics and compliance",Total Compensation,eyJqb2JfdGl0bGUiOiJJbmZvcm1hdGlvbiBTZWN1cml0eSBSaXNrIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJVbml2ZXJzaXR5IG9mIENhbGlmb3JuaWEsIElydmluZSIsImFkZHJlc3NfY2l0eSI6IklydmluZSwgQ0EiLCJodGlkb2NpZCI6InRESjFqWlNILXB2ZWZQbzRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Data Risk and Control Senior Analyst - C13 (Hybrid),Citi,Finance,"Irving, TX (+1 other)",Full-time,"$113,840.00 - $170,760.00",Mid-Senior level,No degree mentioned,"Risk and control, quality assurance/control, data management, data governance, data quality","Contribute to data governance strategy, assist in creation and modification of data risk and control framework, provide guidance on risk reduction and issue remediation, drive compliance with data assurance framework, build relationships with stakeholders, ensure timely risk reporting, and strive for continuous improvement.",,"Health insurance, dental insurance, paid time off, discretionary and formulaic incentive and retention awards, 401(k), life, accident, and disability insurance, wellness programs",Hybrid,3 days ago,Long,,,,Citi Careers,,,,,,,,,,"Communication, diplomacy, analytical, organizational, interpersonal, decision-making, influencing, collaboration, motivation",,eyJqb2JfdGl0bGUiOiJEYXRhIFJpc2sgYW5kIENvbnRyb2wgU2VuaW9yIEFuYWx5c3QgLSBDMTMgKEh5YnJpZCkiLCJjb21wYW55X25hbWUiOiJDaXRpIiwiYWRkcmVzc19jaXR5IjoiSXJ2aW5nLCBUWCIsImh0aWRvY2lkIjoibUVHNVNOM0Q5bm1yVVdxdEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Risk Management Analyst,Goldman Sachs,Finance,"New York, NY",Full-time,"$70,000 - $130,000",Entry level,Bachelor's degree,"MS Office (Excel, PowerPoint, Word, Outlook)","Risk identification, monitoring, and management, Financial and operational risk evaluation, Market analysis, Client transactions facilitation",0-3 years,"Base salary range, Discretionary bonus",,22 days ago,Long,,,,EFinancialCareers,Diverse and inclusive,,,,,,,,,"Strong communication, Team player, Analytical thinking",,eyJqb2JfdGl0bGUiOiJSaXNrIE1hbmFnZW1lbnQgfCBBbmFseXN0IHwgTmV3IFlvcmsgfCBOZXcgWW9yaywgTlksIFVTQSIsImNvbXBhbnlfbmFtZSI6IkdvbGRtYW4gU2FjaHMiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IjRHUWRBVzlnZDB1VFlObldBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Pricing Risk Analyst,Honda,Financial Services,"Torrance, CA",Full-time,"$72,200.00 - $108,300.00",3+ years,"BA/BS degree required, Masters or MBA preferred","Financial modeling, statistical analysis, data mining, Excel, Access, VBA","[""Monitor, analyze, and report on company's profitability and performance"", 'Maintain pricing models and update pricing components', 'Develop pricing forecasts and lead pricing projects', 'Support Risk department with analytical assignments']",3+ years,"['Annual Bonus', 'Lease Car Program', 'Industry leading Benefit Plans', 'Paid time off, 401K Plan', 'Advancement opportunities, Education reimbursement', 'Training and Development programs, Wellbeing program']","Hybrid (Remote, 1 day in the Torrance office required)",17 days ago,Long,,,,Honda Careers,Equal opportunity employer,,,,,,,Yes,,Verbal and written communication,Free drinks onsite,eyJqb2JfdGl0bGUiOiJQcmljaW5nIFJpc2sgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IkhvbmRhIiwiYWRkcmVzc19jaXR5IjoiVG9ycmFuY2UsIENBIiwiaHRpZG9jaWQiOiJCQldmMEVKb05CNDFHLW1JQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Risk Analyst II - Credit Risk Analytics,GM Financial,Finance,"Detroit, MI",Full-time,,2+ years,"Bachelor’s Degree in Finance, Economics, Mathematics, Business, Business Analytics, MIS, or other quantitative field","Data analysis, data visualization, Microsoft Excel, PowerPoint, Word, SAS, SQL","['Analyze credit risk exposure related to consumer and commercial loan and lease acquisition activities', 'Conduct analysis to mitigate credit risk, create and monitor credit policy, measure credit execution and structure', 'Monitor credit performance by region, credit center, and dealership', 'Utilize data mining and advanced spreadsheet skills to quantify credit risk', 'Assist in the creation, maintenance, and monitoring of origination credit policies']",2+ years,"Benefits effective day 1, 401K, bonding leave for new parents, community service pay, pet insurance, training, certifications, company vehicle program, etc.",Flexible hybrid work environment with 2 days per week in the office,3 days ago,Long,SAS or SQL preferred,,,LinkedIn,"Welcomes new ideas, fosters integrity, creates a sense of community and belonging",,,,,,,,,"Effective written and verbal presentation skills, ability to interact collaboratively and proactively with internal customers",,eyJqb2JfdGl0bGUiOiJSaXNrIEFuYWx5c3QgSUkgLSBDcmVkaXQgUmlzayBBbmFseXRpY3MiLCJjb21wYW55X25hbWUiOiJHTSBGaW5hbmNpYWwiLCJhZGRyZXNzX2NpdHkiOiJEZXRyb2l0LCBNSSIsImh0aWRvY2lkIjoic0N0OEthejJHZlpSbVcyQUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"OFAC Compliance Sanctions List Management, Sr AML Financial Crime Risk Analyst",TD Bank,Financial Crime Risk Management,"Mt Laurel Township, NJ",Full-time,"$68,640 - $112,320 USD",5+ years,Undergraduate degree or equivalent work experience,"Sound knowledge of Bank products, systems, policies and procedures, Strong knowledge of criminal investigative techniques, data analytics/data management experience/background, SQL, R, Python, advanced Excel, Tableau knowledge","Conduct end to end investigations, apply reasonable grounds to suspect money laundering/terrorist financing, manage projects/initiatives, lead workstream, evaluate processes/services, maintain risk management culture, participate in team development, provide training and onboarding",5+ years,"Fair and equitable compensation, Total Rewards Package, health and well-being benefits, savings and retirement programs, paid time off, career development, reward and recognition",,3 days ago,Extensive,,,,TD Bank Jobs,"Committed to providing fair compensation and enriching the lives of customers, communities, and colleagues",,40 hours per week,,,,,"Regular career, development, and performance conversations, online learning platform, mentoring programs",,,,eyJqb2JfdGl0bGUiOiJPRkFDIENvbXBsaWFuY2UgU2FuY3Rpb25zIExpc3QgTWFuYWdlbWVudCwgU3IgQU1MIEZpbmFuY2lhbCBDcmltZSBSaXNrIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiJURCBCYW5rIiwiYWRkcmVzc19jaXR5IjoiTXQgTGF1cmVsIFRvd25zaGlwLCBOSiIsImh0aWRvY2lkIjoiOVpxcGFtNzYwS3RUeWI5aEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Compliance Risk and Control Analyst,U.S. Bank,,"Wellston, MO",Full-time,"$102,340.00 - $120,400.00 - $132,440.00",More than six years,Bachelor's degree or equivalent work experience,"Risk management, Compliance, Audit, Financial services, Payments products, Bank Secrecy Act, USA Patriot Act, Economic Sanctions laws","Oversee risk management framework, Ensure compliance with laws and regulations, Assess risks, Develop controls, Maintain risk framework documentation, Present concerns to leadership, Complete risk analysis cycles, Support operational activities",,"Healthcare, Life insurance, Disability, Parental leave, Retirement plan, Paid vacation, Paid holidays, Adoption assistance, Sick and Safe Leave accruals",Hybrid/flexible schedule,17 hours ago,Long,CAMS or CRCM designation preferred,,,Adzuna,,,,,,,,,,"Analytical, Problem-solving, Communication",,eyJqb2JfdGl0bGUiOiJDb21wbGlhbmNlIFJpc2sgYW5kIENvbnRyb2wgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlUuUy4gQmFuayIsImFkZHJlc3NfY2l0eSI6V2VsbHN0b24sIE1PIiwiaG9pZGNpZCI6Ik0tVTI5UFA0SFlZanpqMURBQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTldXNXBkR1ZrSUZOMFlYUmxjdycsImdsIjp1cywiaGwiOiJlbiJ9,
